Source/Ref,Location,type,flow,Run,condition,No.,Source#,bp (m),H (m),T (s),y (m),Um (m/s),Ufm (m/s),V (m/s),d50 (mm),ys (m),theta,theta_cr,KC
"Sumer, Fredsoe, 2001, Large",Lab,Single Pier,No,10,0,179,6,0.54,0.069,3.5,0.4,0.18,0.0155,0,0.2,0.013,0.074,0,1.2
"Sumer, Fredsoe, 2001, Large",Lab,Single Pier,No,11,0,180,6,0.54,0.064,3.5,0.4,0.17,0.015,0,0.2,0.002,0.07,0,1.1
"Sumer, Fredsoe, 2001, Large",Lab,Single Pier,No,12,0,181,6,0.54,0.056,3.5,0.4,0.152,0.014,0,0.2,0.005,0.061,0,0.98
"Sumer, Fredsoe, 2001, Large",Lab,Single Pier,No,13,0,182,6,1.53,0.12,3.5,0.4,0.3,0.0201,0,0.2,0.025,0.125,0,0.68
"Sumer, Fredsoe, 2001, Large",Lab,Single Pier,No,14,0,183,6,1.53,0.087,3.5,0.4,0.215,0.0172,0,0.2,0.018,0.09,0,0.49
"Sumer, Fredsoe, 2001, Large",Lab,Single Pier,No,15,0,184,6,1.53,0.069,3.5,0.4,0.18,0.0155,0,0.2,0.008,0.074,0,0.41
"Sumer, Fredsoe, 2001, Large",Lab,Single Pier,No,16,0,185,6,1.53,0.064,3.5,0.4,0.17,0.015,0,0.2,0.003,0.07,0,0.38
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-1,0,186,7,0.01,0.054,1.02,0.15,0.2,0.020905,0,0.27,0.0104,0.1,0,23
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-2,0,187,7,0.01,0.052,1.02,0.15,0.178,0.019833,0,0.27,0.0075,0.09,0,19.5
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-3,0,188,7,0.01,0.041,2.01,0.15,0.145,0.016193,0,0.27,0.007,0.06,0,22.4
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-4,0,189,7,0.01,0.023,2.26,0.15,0.078,0.013222,0,0.27,0.008,0.04,0,15
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-5,0,190,7,0.02,0.048,2.17,0.15,0.25,0.017491,0,0.27,0.015,0.07,0,18.9
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-6,0,191,7,0.03,0.047,2.63,0.1,0.222,0.018698,0,0.27,0.0123,0.08,0,13
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-7,0,192,7,0.02,0.04,1.95,0.1,0.193,0.018698,0,0.27,0.018,0.08,0,14.2
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-8,0,193,7,0.02,0.03,2.51,0.1,0.156,0.014782,0,0.27,0.014,0.05,0,16.7
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-9,0,194,7,0.01,0.034,1.22,0.1,0.155,0.018698,0,0.27,0.003,0.08,0,12.7
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-10,0,195,7,0.02,0.034,2.57,0.1,0.187,0.016193,0,0.27,0.014,0.06,0,18.1
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-11,0,196,7,0.02,0.039,2.57,0.1,0.2,0.017491,0,0.27,0.011,0.07,0,14.3
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-12,0,197,7,0.02,0.043,2.57,0.1,0.18,0.017491,0,0.27,0.0096,0.07,0,12.4
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-13,0,198,7,0.01,0.053,1.02,0.15,0.171,0.020905,0,0.27,0.0075,0.1,0,19.3
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-14,0,199,7,0.01,0.053,1.02,0.15,0.186,0.019833,0,0.27,0.006,0.09,0,19.6
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-15,0,200,7,0.01,0.059,1.02,0.15,0.149,0.021926,0,0.27,0.004,0.11,0,16.6
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-16,0,201,7,0.03,0.031,2.63,0.1,0.127,0.014782,0,0.27,0.009,0.05,0,11
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-17,0,202,7,0.03,0.031,2.63,0.1,0.144,0.014782,0,0.27,0.0075,0.05,0,12.5
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-18,0,203,7,0.03,0.031,2.63,0.1,0.178,0.014782,0,0.27,0.0111,0.05,0,12.9
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 1-19,0,204,7,0.01,0.054,1.02,0.15,0.2,0.020905,0,0.27,0.009,0.1,0,23
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 2-A1,0,205,7,0.02,0.034,2.57,0.1,0.187,0,0,0.27,0.014,0,0,18.1
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 2-A2,0,206,7,0.02,0.039,2.57,0.1,0.2,0,0,0.27,0.011,0,0,14.3
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 2-A3,0,207,7,0.02,0.043,2.57,0.1,0.18,0,0,0.27,0.0096,0,0,12.4
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 2-B1,0,208,7,0.01,0.053,1.02,0.15,0.171,0,0,0.27,0.0075,0,0,19.3
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 2-B2,0,209,7,0.01,0.053,1.02,0.15,0.186,0,0,0.27,0.006,0,0,19.6
"Carreiras, Larroude, Seabra-Santos, Mory, 2001",Lab,Single Pier,No,Table 2-B3,0,210,7,0.01,0.059,1.02,0.15,0.149,0,0,0.27,0.004,0,0,16.6
